event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not find another place,"[""none""]","[""none""]","[""none""]","[""flustered"", ""frustrated"", ""lost"", ""air-headed""]","[""Person X is homeless"", ""Person X cries"", ""Forced to live on street"", ""Kicked out of apartment""]","[""none"", ""looks for new place"", ""needs a new home""]","[""none"", ""to look all day for a place"", ""to give up looking""]","[""defeated"", ""stressed out"", ""upset"", ""sense a fail""]","[""To find a new place"", ""To go somewhere unique"", ""to start looking in the morning"", ""to not give up""]",tst,PersonX finds another place
PersonX does not have a new toy,"[""none""]","[""none""]","[""none""]","[""sad"", ""angry"", ""lacking""]","[""becomes saddened"", ""becomes jealous"", ""none""]","[""none""]","[""none""]","[""upset that their parents couldn't afford the gift"", ""like their family is poor"", ""bored"", ""disappointed""]","[""ask for a toy for christmas"", ""save up allowance to buy a toy"", ""to keep their old toy"", ""to save their money for something better""]",tst,PersonX has a new toy
PersonX does not thank PersonY's profusely,"[""taken advantage of"", ""abused"", ""none""]","[""appreciated somewhat"", ""underwhelmed"", ""scorned"", ""hated""]","[""none"", ""to help PersonX"", ""to say welcome""]","[""ungrateful"", ""selfish"", ""unthankful"", ""spoiled""]","[""frowned at"", ""reprimanded"", ""gets called ungrateful"", ""loses PersonY's respect""]","[""to come across nonchalant"", ""to play it cool"", ""to be rude"", ""to show their disapproval""]","[""none"", ""to receive something from PersonY"", ""to know PersonY""]","[""in control of their image"", ""restrained"", ""hatred"", ""scorn""]","[""to feel appreciated"", ""to have someone thank him"", ""to thank PersonY sincerely"", ""to repay PersonY""]",tst,PersonX thanks PersonY's profusely
PersonX does not take PersonY's stand,"[""yelled at"", ""loses friend"", ""none""]","[""betrayed"", ""abandoned"", ""thankful"", ""surprised""]","[""none""]","[""unsupportive"", ""self-centered"", ""weak-willed"", ""dependent""]","[""yelled at"", ""loses friend"", ""none""]","[""to disassociate themselves from PersonY"", ""to see PersonY get their just desserts"", ""to be nice"", ""to not steal""]","[""to disagree with PersonY"", ""to take their own stand"", ""none""]","[""selfish"", ""justified"", ""proud for not stealing"", ""happy""]","[""to find a better way"", ""to gain status"", ""apologize"", ""be left alone""]",tst,PersonX takes PersonY's stand
PersonX does not spray PersonX,"[""none""]","[""none""]","[""none""]","[""careful"", ""coordinated"", ""respectful"", ""courteous""]","[""be clean"", ""have no need for immediate shower"", ""Bitten alive by bugs"", ""Forced to by a bug net""]","[""to avoid danger"", ""to point it at something else"", ""to avid an allergic reaction to the sunscreen"", ""to not break out in hives""]","[""none""]","[""dangerous"", ""relieved to not be hurt"", ""thankful they know from pervious experince to avoid that particular brand of sunscreen"", ""they should probably cover up with a hat and long sleeves to avoid getting burned""]","[""to remain clean"", ""to avoid immediate washing"", ""leave spray alone"", ""do nothing""]",tst,PersonX sprays PersonX
PersonX does not justify PersonX's actions,"[""none""]","[""disrespected"", ""curious"", ""frustrated"", ""disappointed""]","[""none""]","[""unconnected"", ""unjust"", ""unfriendly"", ""introverted""]","[""she felt so angry"", ""she felt so embarrassed"", ""none""]","[""avoid explanation"", ""avoid being judged"", ""to leave"", ""to ignore everyone""]","[""to do the actions"", ""to feel they don't need to explain"", ""to do something immoral"", ""to act without thinking""]","[""silent"", ""despondent"", ""guilty"", ""ashamed"", ""righteous""]","[""to do the same actions again"", ""to finish their day"", ""to take responsibility for their actions"", ""to move on""]",tst,PersonX justifies PersonX's actions
PersonX does not put PersonX's pants on PersonX leg at a time,"[""none""]","[""none""]","[""none""]","[""razzled"", ""unfocused"", ""preoccupied"", ""skilled"", ""careful""]","[""falls down"", ""hits head on ground"", ""none""]","[""to get dressed as fast as possible"", ""to wear her skirt like all of her teammates on the cheerleading squad"", ""none""]","[""to wear a skirt"", ""to wear a kilt"", ""get out a pair of pants"", ""sit on the bed"", ""put both legs in the pants at once""]","[""efficient"", ""spirited"", ""extraordinary"", ""exceptional"", ""remarkable""]","[""to show his legs off"", ""to be different"", ""pull up the pants"", ""look in the mirror""]",tst,PersonX puts PersonX's pants on PersonX leg at a time
PersonX is not a star athlete,"[""none""]","[""none""]","[""none""]","[""a fumbler"", ""not active"", ""unhealthy"", ""lazy""]","[""Cut from team"", ""Ridiculed by coach"", ""none""]","[""none""]","[""none"", ""to join the team"", ""to play sports""]","[""middle of the pack"", ""unskilled"", ""disappointed in themselves for not doing better"", ""determined to try harder""]","[""to remain average in sports ability"", ""to stay unremarkable as a sports performer"", ""to practice harder"", ""to get a trainer""]",tst,PersonX is a star athlete
PersonX does not break up with PersonY,"[""none"", ""they are not single"", ""they do not feel alone""]","[""disappointed"", ""frustrated"", ""happy to be close to PersonX"", ""content to be in a relationship""]","[""none"", ""to take advantage of the chance"", ""to be happier""]","[""devoted"", ""adoring"", ""loyal"", ""true""]","[""stays with person"", ""works on relationship"", ""they remain in a relationship"", ""personY loves them""]","[""to patch things up"", ""to stay with PersonY"", ""to not disappoint PersonY"", ""to keep dating PersonY"", ""to be close to PersonY""]","[""none""]","[""clingy"", ""determined"", ""insecure"", ""content"", ""happy""]","[""marries them"", ""engages them"", ""to give them another chance"", ""avoid heartbreak""]",tst,PersonX breaks up with PersonY
PersonX does not help PersonY move,"[""none""]","[""neglected"", ""backed out on"", ""abandoned"", ""peeved""]","[""receive an apology"", ""find someone else to help"", ""none""]","[""unkind"", ""selfish"", ""unhelpful""]","[""Criticized by personY"", ""Loses a friend"", ""Forced to find new friends"", ""none""]","[""to avoid PersonY"", ""to honor a prior engagement"", ""to protect their back from injury"", ""to spend their weekend doing enjoyable""]","[""none"", ""to work instead"", ""to go home""]","[""busy"", ""apologetic"", ""unrepentant"", ""guiltless""]","[""apologize"", ""offer to help next time"", ""to help some else"", ""to go home""]",tst,PersonX helps PersonY move
PersonX does not decide to order a pizza,"[""none""]","[""none""]","[""none""]","[""conservative"", ""shy"", ""indecisive"", ""lazy""]","[""eats salad"", ""eats leftovers"", ""none""]","[""to eat something else"", ""lose calories"", ""to cook a meal""]","[""be hungry"", ""have a choice of ordering pizza"", ""to be hungry"", ""to be considering food options""]","[""frustrated"", ""strong"", ""ambitious"", ""hungry""]","[""order another type of food"", ""cook something at home"", ""to make dinner themselves"", ""to go out to eat with friends""]",tst,PersonX decides to order a pizza
PersonX does not have a laugh,"[""none""]","[""none""]","[""none""]","[""unsociable"", ""unaware"", ""serious"", ""solemn""]","[""gets a laugh"", ""finds something funny"", ""none""]","[""none""]","[""to have a dour disposition"", ""to be mute"", ""to make a serious face"", ""to take things personally""]","[""unamused"", ""serious"", ""offended"", ""sad"", ""bored""]","[""to lighten up"", ""to clap his hands"", ""to get an explanation"", ""to read more sad lyrics""]",tst,PersonX has a laugh
PersonX does not paint the town red,"[""none""]","[""none""]","[""none""]","[""Meek"", ""Inoffensive"", ""unmotivated"", ""cowardly""]","[""none"", ""they save money"", ""they are well rested""]","[""to stay home"", ""to be in bed early"", ""to avoid wasteful spending"", ""to protect his dignity""]","[""none"", ""stay home"", ""not go out""]","[""rested"", ""content"", ""reserved"", ""consistent""]","[""rest"", ""sleep""]",tst,PersonX paints the town red
PersonX does not agree to disagree,"[""none""]","[""opinionated"", ""wanting to defend their ideas"", ""anger"", ""disrespected""]","[""none""]","[""uncaring"", ""bold"", ""hostile"", ""aggressive""]","[""Angry face"", ""raised eyebrows"", ""none""]","[""none"", ""to win the debate"", ""to not give in""]","[""none""]","[""conflicted"", ""like arguing"", ""argumentative"", ""convicted"", ""stubborn""]","[""to continue arguing"", ""to have their way"", ""to agree with everyone"", ""to not have to say no""]",tst,PersonX agrees to disagree
PersonX does not have a wonderful trip,"[""none""]","[""none""]","[""none""]","[""ordinary"", ""dull"", ""disappointed"", ""disillusioned""]","[""none"", ""become regretful"", ""avoid a repeat""]","[""none""]","[""none"", ""go on a trip"", ""have a negative experience""]","[""anger"", ""cheated"", ""sad"", ""angry""]","[""to go back home"", ""to leave a negative review on yelp"", ""go home"", ""plan a different trip next time""]",tst,PersonX has a wonderful trip
PersonX does not leave PersonX's family,"[""gains respect"", ""gains love"", ""none""]","[""none"", ""protected"", ""loved"", ""cared for""]","[""to welcome with open arms"", ""to create a list of chores"", ""none""]","[""loyalty"", ""understandable"", ""loving"", ""caring"", ""attentive"", ""thoughtful"", ""considerate"", ""affectionate""]","[""gains respect"", ""gains love"", ""none""]","[""to remain in agroup"", ""be social"", ""to be responsible"", ""to be reliable""]","[""to stay in the house"", ""to prepare their room"", ""to have a family"", ""think about leaving""]","[""wanted"", ""appreciative"", ""loving"", ""close"", ""emotional""]","[""to help with the rent"", ""to buy groceries"", ""to keep being with family"", ""to enjoy time with family""]",tst,PersonX leaves PersonX's family
PersonX does not see PersonY later,"[""Overwhelmingly lonely"", ""Cannot sleep at night"", ""none""]","[""disappointed"", ""curious about where PersonX went"", ""forgotten"", ""disprespected""]","[""an explanation"", ""an apology"", ""make plans for another time"", ""see personX""]","[""unlucky"", ""confused"", ""elusive"", ""occupied""]","[""none""]","[""none""]","[""to know person Y"", ""to agree to see person y"", ""none""]","[""disappointed"", ""curious about where PersonY went"", ""sorry for not getting back in touch"", ""like apologizing for working late""]","[""to make it up to person y"", ""to take person y to dinner"", ""be alone"", ""avoid personY""]",tst,PersonX sees PersonY later
PersonX is not getting ready for school,"[""none""]","[""none"", ""frustrated with X"", ""concerned about x""]","[""none""]","[""bratty"", ""impudent"", ""sleeping in"", ""unprepared""]","[""Person X fails school"", ""Person X gets grounded"", ""thye miss the bus"", ""they are late for class""]","[""avoid school"", ""sleep longer"", ""to do something fun"", ""to skip class"", ""to sleep in""]","[""be enrolled somewhere"", ""wake up"", ""to stay in bed"", ""to play video games""]","[""unmotivated"", ""lazy"", ""relaxed"", ""content"", ""worried about the next day""]","[""skip class"", ""stay at home"", ""to borrow a friend's notes over the computer"", ""to go to the skate park""]",tst,PersonX is getting ready for school
PersonX does not find PersonY's daughter,"[""sweats"", ""cries"", ""none""]","[""regretful"", ""appreciative for trying"", ""lost and scared"", ""unaware that anyone is looking for her""]","[""to thank personX"", ""to make sure their daughter is okay"", ""keep searching"", ""find duaghter""]","[""unsure of her looks"", ""lost"", ""unskilled"", ""ignorant""]","[""sweats"", ""breahtes heavy"", ""none""]","[""none""]","[""notice the daughter missing"", ""offer to look for the daughter"", ""found out daughter was missing"", ""be asked to help search""]","[""regretful"", ""unsuccessful"", ""scared for the girl's safety"", ""worried about PersonY's reaction""]","[""to make sure daughter is safe"", ""cry about the day's events"", ""tell person Y the news"", ""comfort person Y""]",tst,PersonX finds PersonY's daughter
PersonX does not trick or treat,"[""none""]","[""none""]","[""none""]","[""uninterested"", ""grinchy"", ""boring"", ""loner""]","[""Forced into costume by parents"", ""Taken to local development"", ""none""]","[""to stay at home"", ""to avoid dangerous places"", ""to go to a haunted house"", ""to go out for Halloween Horror Nights instead""]","[""none""]","[""bored"", ""sad"", ""excited"", ""fear"", ""anticipation""]","[""go to a Halloween party"", ""stay home"", ""to stay home"", ""to not be bothered""]",tst,PersonX tricks or treat
PersonX does not play dodgeball,"[""none""]","[""none""]","[""none""]","[""scared"", ""lazy"", ""unathletic""]","[""none"", ""gets to relax"", ""sighs""]","[""to avoid getting hit"", ""to avoid competition"", ""to go inside"", ""to do video games instead""]","[""to be invited to play the game"", ""to think about their other available choices"", ""to decide they want to play something else"", ""be invited to play"", ""have friends""]","[""safe"", ""left out"", ""ashamed"", ""unathletic"", ""excited"", ""anticipation""]","[""to continue playig their selected game"", ""to swicth to another one if this becomes boring"", ""go do something else"", ""decline invitation""]",tst,PersonX plays dodgeball
PersonX does not get right,"[""none""]","[""none""]","[""none""]","[""discombobulated"", ""off"", ""confused"", ""unknowing""]","[""they fail"", ""they have to repeat the task"", ""none""]","[""none""]","[""to make the attempt"", ""to try something new"", ""to attempt"", ""to put in little effort""]","[""saddened they are wrong"", ""angered they need help"", ""eager to try it again"", ""ready to give up""]","[""to try it again"", ""to figure out what he did wrong"", ""to try again"", ""to take time away""]",tst,PersonX gets right
PersonX does not go to the library to study,"[""none""]","[""none""]","[""none""]","[""unscholarly"", ""flighty"", ""irresponsible"", ""lazy""]","[""fails test"", ""gets poor grades"", ""Failed on test"", ""Put into summer school""]","[""to have fun"", ""to do something else"", ""none""]","[""none""]","[""guilty"", ""regretful"", ""rested"", ""unprepared""]","[""Study more to prepare"", ""Ask someone else for help"", ""to cram the night before the test"", ""to cheat on the test""]",tst,PersonX goes to the library to study
PersonX does not ask PersonY to sit,"[""none""]","[""ignored"", ""unwanted"", ""irritated"", ""hurt""]","[""none"", ""to not sit"", ""leave""]","[""mad"", ""uncaring"", ""inconsiderate"", ""careless""]","[""Made fun of by personY"", ""Not invited to dinner again"", ""none""]","[""to be in control"", ""to be independent"", ""to be alone"", ""to stay away from PersonY""]","[""meet up with someone"", ""run into an aquaintance"", ""finds personY"", ""talk to personY""]","[""independent"", ""strong"", ""relieved"", ""content""]","[""spend some time alone"", ""focus on work"", ""ensure PersonY does not sit"", ""to leave""]",tst,PersonX asks PersonY to sit
PersonX does not push PersonX's luck,"[""none""]","[""none""]","[""none""]","[""not rude"", ""not pushy"", ""lazy"", ""unfocused""]","[""none""]","[""to practice restraint"", ""to avoid bad outcomes"", ""to be careful"", ""avoid losing money""]","[""to come across some luck"", ""to have something good happen to them"", ""none""]","[""intelligent"", ""measured"", ""responsible"", ""relieved""]","[""to call it quits"", ""to leave the casino"", ""to save money"", ""to avoid risk""]",tst,PersonX pushes PersonX's luck
PersonX does not cast PersonY's eyes,"[""none""]","[""none""]","[""ignore person x"", ""look at person x"", ""call out to personX"", ""make themselves noticed""]","[""confused"", ""unbothered"", ""ordinary"", ""inoffensive""]","[""none""]","[""none""]","[""none""]","[""disappointed"", ""sad"", ""avoided"", ""low about themselves""]","[""get person y to notice"", ""walk away from perosn y"", ""look away"", ""ignore someone""]",tst,PersonX casts PersonY's eyes
PersonX does not seem larger and heavier,"[""none""]","[""none""]","[""none""]","[""steady"", ""consistent"", ""average"", ""happy""]","[""Complimented by friends"", ""Asked on a date"", ""none""]","[""to dress in a slimming manner"", ""to show off their weight loss"", ""to slim down"", ""to get healthier"", ""to eat healthier""]","[""eats healthier food"", ""goes on a diet"", ""eat healthy"", ""be active""]","[""great"", ""proud"", ""great about themselves"", ""like helping others to get healthy""]","[""feels better about themselves"", ""is a happier person"", ""maintain weight"", ""keep healthy""]",tst,PersonX seems larger and heavier
PersonX did not often go,"[""none"", ""missed PersonX's presence"", ""had to find another person""]","[""none""]","[""Accept personX apology"", ""Forgive person X"", ""none""]","[""shy"", ""hesitant"", ""confined"", ""secluded""]","[""went to bed"", ""went to sleep"", ""none""]","[""to be aloof"", ""to stay away from people"", ""to spend time elsewhere"", ""to not make it a habit""]","[""Stay at home"", ""Avoid friends and family that invite personX"", ""go sometimes"", ""avoid going all the time""]","[""content"", ""relieved"", ""good"", ""they made a good decision""]","[""Call to cancel plans"", ""Apologize to friends and family"", ""go more"", ""avoid going""]",tst,PersonX often went
PersonX does not accept PersonY's apology,"[""none"", ""avoids x"", ""trys to make amends""]","[""nervous"", ""upset"", ""annoyed"", ""angry""]","[""to make a peace offering to PersonX"", ""to plead their case again to PersonX"", ""to keep apologizing to PersonX"", ""to move one""]","[""resentful"", ""vindictive"", ""selfish"", ""deceitful""]","[""none""]","[""Doesn't believe them"", ""doesn't care"", ""to show they're angry"", ""to hurt PersonY""]","[""to answer PersonY's calls"", ""to let PersonY speak their piece"", ""to hear PersonY's apology"", ""to know PersonY""]","[""upset"", ""angry"", ""powerful"", ""accomplished""]","[""to steer clear of PersonY"", ""to make plans with other friends"", ""to avoid PersonY"", ""to make PersonY miserable"", ""to move on""]",tst,PersonX accepts PersonY's apology
PersonX does not clean PersonY's clock,"[""cringes at personX"", ""thinks low low of personX"", ""none""]","[""jaunty"", ""mischevious"", ""annoyed"", ""sad""]","[""none"", ""to feel thankful"", ""to get away from personX""]","[""peaceful"", ""pacifist"", ""calm"", ""controlled""]","[""gets yelled at"", ""gets told to clean it"", ""breathes relief"", ""gets hit""]","[""to not cause a scene"", ""to not incur violence"", ""to be unhelpful"", ""to make PersonY do it themself""]","[""none""]","[""principled"", ""restrained"", ""proud"", ""happy""]","[""y to clean it himself"", ""to teach y a lesson"", ""to calm down"", ""to leave the area""]",tst,PersonX cleans PersonY's clock
PersonX does not rush to school,"[""none""]","[""none""]","[""none""]","[""slow"", ""uncaring"", ""free-spirited"", ""easy-going""]","[""Person X is late to school"", ""Person X gets stopped by a train"", ""none""]","[""to be late"", ""to avoid studying"", ""to take his time"", ""to avoid his friends""]","[""to go to school"", ""to have classes"", ""none""]","[""lazy"", ""dumb"", ""relieved"", ""satisfied""]","[""to eat breakfast"", ""to meet their friends"", ""to avoid classes"", ""go to school"", ""find a ride""]",tst,PersonX rushes to school
PersonX does not sell PersonX's jewelry,"[""none""]","[""none""]","[""none""]","[""sentimental"", ""nostalgic"", ""selfish"", ""unsure"", ""unconfident""]","[""none"", ""have the jewelry in hand"", ""wear the jewelry""]","[""to save items"", ""to collect more stuff"", ""to hold onto important heirlooms"", ""to protect family memories""]","[""none"", ""to own some jewelry"", ""to have the opportunity to sell some of it""]","[""considerate"", ""nostalgic"", ""satisfied"", ""pleased""]","[""keep their belongings"", ""not make money"", ""to keep jewelry for its sentimental value"", ""to donate the valuable jewelry for a tax deduction instead of selling it""]",tst,PersonX sells PersonX's jewelry
PersonX does not look better,"[""none""]","[""none""]","[""none"", ""to offer help to PersonX"", ""tell PersonX they're happy he is feeling better""]","[""ragged"", ""tired"", ""pale"", ""ill"", ""unprepared""]","[""is hospitalized"", ""is examined"", ""none""]","[""none""]","[""none"", ""to take their own temperature"", ""to get some more rest""]","[""disappointed"", ""embarrassed"", ""cries"", ""sleep off""]","[""see a doctor"", ""get some drugs"", ""to catch up on missed chores"", ""to call friends to tell them they are better""]",tst,PersonX looks better
PersonX does not want to learn how to sew,"[""none""]","[""none""]","[""none""]","[""unskillful"", ""tedious"", ""handful"", ""tired"", ""uninterested""]","[""none"", ""loses knowledge"", ""misses out""]","[""to avoid his friends making fun of him for learning a feminine skill"", ""to learn other skills that could be more useful"", ""to pick up another hobby"", ""to be lazy""]","[""none""]","[""appreciative that his mother will do the clothing repair for him"", ""it's just easier to buy new clothes than to spend time repairing them"", ""lazy"", ""indecisive""]","[""to avoid change"", ""to avoid something that is not fun"", ""have others make clothes"", ""keep away from needles""]",tst,PersonX wants to learn how to sew
PersonX does not get a replacement,"[""none""]","[""none""]","[""PersonX to understand the policy"", ""to explain the policy"", ""none""]","[""independent"", ""stingy"", ""neglectful"", ""unaware"", ""stubborn""]","[""has to work harder"", ""stays at work"", ""none""]","[""to try something else"", ""to treasure the original"", ""to fix the existing item"", ""to try something else instead""]","[""to fix phone"", ""to order new phone"", ""none""]","[""nervous"", ""anxious"", ""confident and capable"", ""disappointed in the item""]","[""to complain to the company"", ""refund"", ""to yell at the company"", ""to stomp off""]",tst,PersonX gets a replacement
PersonX does not see PersonY's wife,"[""none""]","[""none"", ""suspicious"", ""neglected""]","[""none"", ""PersonX to go talk to someone else"", ""to leave the event""]","[""bothered"", ""annoyed"", ""occupied"", ""uncertain""]","[""none""]","[""none"", ""to not make things awkward"", ""to not talk to PersonX's wife""]","[""none""]","[""indifferent"", ""apathetic"", ""cagey"", ""conflicted""]","[""to know where she was"", ""to ask about her"", ""take a look around before blurting something out"", ""say hi to everyone around so they know who's there""]",tst,PersonX sees PersonY's wife
PersonX does not replace PersonX's old one,"[""none""]","[""none""]","[""none""]","[""frugal"", ""satisfied"", ""self-centered"", ""cheap""]","[""Current one breaks down"", ""Has to borrow one from a friend"", ""none""]","[""To save their money"", ""To get a new one on sale later"", ""to save money"", ""keep using it""]","[""have a relatively old item"", ""have the opportunity to replace it"", ""none""]","[""Thrifty"", ""Intelligent"", ""thrifty"", ""sentimental""]","[""to fix the old item to keep it working"", ""to find some radically-different solution for the job that the old item was doing"", ""to save money"", ""to use it until it is broken""]",tst,PersonX replaces PersonX's old one
PersonX does not get everything ready,"[""none""]","[""none""]","[""none""]","[""conservative"", ""lazy"", ""busy""]","[""becomes late for appointment"", ""forgets multiple items"", ""none""]","[""spend more time on something else"", ""to sleep a bit and relax their nerves"", ""get ready later"", ""avoid the task""]","[""to plan something"", ""to get distracted"", ""to do a few tasks"", ""to call and postpone their appointment""]","[""unhappy about their own lapses"", ""discouraged to carry on"", ""guilty"", ""regretful""]","[""to get the stuff ready"", ""to make new plans"", ""to take a nap"", ""to watch TV""]",tst,PersonX gets everything ready
PersonX does not rid PersonY's bikes,"[""none""]","[""none""]","[""let personX use their bike"", ""enjoy their company"", ""none""]","[""considerate"", ""unable to ride"", ""tired"", ""uncertain"", ""wary""]","[""none"", ""person x rid person x's bike"", ""person x filled gasoline""]","[""to respect PersonY"", ""to be kind"", ""to avoid crashing a bike"", ""to walk to his destination""]","[""meet personY"", ""know of personY's bikes"", ""none""]","[""proud"", ""content"", ""slow"", ""careful"", ""safe""]","[""use personY's bikes"", ""bike around town"", ""to keep bikes safe"", ""tell Y bikes are still there""]",tst,PersonX rides PersonY's bikes
PersonX does not spill PersonY's coffee,"[""none""]","[""appreciated"", ""grateful"", ""safe"", ""relieved""]","[""none""]","[""careful"", ""cautious"", ""skillful"", ""preventable""]","[""has full coffee"", ""sees full cup"", ""none""]","[""to not stain the carpet"", ""to be considerate to their guest"", ""none""]","[""to buy coffee"", ""to make coffee"", ""none""]","[""polite"", ""like a good host"", ""patient"", ""steady with his hands""]","[""to drink"", ""to throw away the coffee"", ""to avoid conflict"", ""to have good manners""]",tst,PersonX spills PersonY's coffee
PersonX does not call PersonY the next day,"[""none"", ""Person Y cries"", ""Person Y sobs""]","[""confused"", ""concerned"", ""uncertain"", ""ignored""]","[""none"", ""to dump X"", ""to be offended by X""]","[""undependable"", ""unreliable"", ""detached"", ""lazy"", ""apathetic"", ""busy""]","[""none"", ""Person X gets dumped"", ""Person X becomes alone""]","[""to make PersonY nervous"", ""to give PersonY space"", ""to play hard to get"", ""to make PersonY miss them""]","[""goes on a date"", ""organizes to meet"", ""to have lost his phone"", ""to have broken his phone""]","[""nervous"", ""awkward"", ""coy"", ""satisfied""]","[""call person Y"", ""stay home"", ""to replace his phone"", ""to have his phone repaired""]",tst,PersonX calls PersonY the next day
PersonX does not challenge PersonX's friend to a race,"[""none""]","[""strong"", ""powerful"", ""none""]","[""none"", ""to race someone else"", ""to challenge PersonX""]","[""coy"", ""humble"", ""non-competitive"", ""cooperative"", ""accepting""]","[""Challenged by friend instead"", ""Loses race to friend"", ""none""]","[""to enjoy"", ""peace"", ""to avoid losing"", ""to be careful""]","[""none""]","[""relaxed"", ""peaceful"", ""happy"", ""reserved"", ""safe""]","[""stay still"", ""go home"", ""to save their energy"", ""to go home"", ""to have fun another way""]",tst,PersonX challenges PersonX's friend to a race
PersonX does not look in PersonY's cupboard,"[""none""]","[""respected"", ""appreciated"", ""pleased"", ""thankful""]","[""to continue being friends with PersonX"", ""to offer PersonX something to eat"", ""to go to the store"", ""hang out with their friends""]","[""respectful"", ""considerate"", ""uncaring"", ""satisfied""]","[""none""]","[""maintain personY's privacy"", ""be respectful"", ""to be resepectful"", ""to not be invasive""]","[""none"", ""go see their friend"", ""to go to their own house""]","[""respectful"", ""polite"", ""proud"", ""happy""]","[""to ask PersonY for a snack"", ""to grab a bite to eat on the way home"", ""go to the grocery store"", ""help their friend buy food""]",tst,PersonX looks in PersonY's cupboard
PersonX does not bring the puppy,"[""none""]","[""disappointed"", ""sad"", ""disappointed to not see cute animal""]","[""none""]","[""forgetful"", ""mean"", ""careless""]","[""the puppy goes in the house"", ""the puppy destroys the couch"", ""none""]","[""a break from the puppy"", ""to protect the puppy"", ""to keep pet safe"", ""to prevent pet from annoying others""]","[""to get a puppy"", ""decide to leave the puppy"", ""to leave the house"", ""to go somewhere""]","[""relieved"", ""happy"", ""thoughtful"", ""lonely for not bringing cute animal""]","[""to get back to the puppy"", ""to check on the puppy"", ""to go home to the puppy"", ""to make sure it's okay""]",tst,PersonX brings the puppy
PersonX does not get PersonY hands on,"[""none""]","[""glad"", ""relieved"", ""right about turning down PersonX"", ""good in their decision""]","[""none"", ""to go again soon"", ""to let PersonX know it's okay""]","[""careless"", ""lazy"", ""elusive"", ""slippery""]","[""none""]","[""to not be touchy"", ""to avoid touching"", ""none""]","[""none"", ""to give up on this visit"", ""promise to take PersonY again""]","[""considerate"", ""happy"", ""like they failed"", ""like they need to try harder""]","[""apologize to PersonY"", ""tell PersonY the next time will be better""]",tst,PersonX gets PersonY hands on
PersonX does not read PersonX's diary,"[""none""]","[""none""]","[""none""]","[""uninterested"", ""incurious"", ""respectful"", ""caring""]","[""none"", ""Forgets an important date"", ""Loses interest in their diary""]","[""none"", ""to avoid the past"", ""to spend time elsewhere""]","[""none"", ""write in their diary""]","[""like they know"", ""first hand experience"", ""scared of the past"", ""traumatized""]","[""to forget about their diary"", ""to throw the diary away""]",tst,PersonX reads PersonX's diary
PersonX does not hang PersonY's clothes,"[""none"", ""chastises x"", ""resents x""]","[""ignored"", ""unhelped"", ""disappointed"", ""upset""]","[""none"", ""to rest"", ""to relax""]","[""inconsiderate"", ""lazy"", ""tired""]","[""Yelled by personY"", ""Given more jobs to do"", ""person y chastises them"", ""seen as lazy""]","[""none"", ""to do his own thing"", ""to make PersonY do it""]","[""none"", ""to wash clothes"", ""to hang clothes""]","[""unburdened"", ""self involved"", ""smug"", ""irritated""]","[""sleep"", ""rest"", ""PersonY to help"", ""PersonY to hang the clothes""]",tst,PersonX hangs PersonY's clothes
PersonX does not give PersonY help,"[""cries"", ""sweats"", ""feel resentment towards personX"", ""become more independent""]","[""frustrated"", ""neglected"", ""betrayed"", ""angry""]","[""to shout at PersonX"", ""to demand PersonX help next time"", ""to get back at person X"", ""to get help from another person""]","[""selfish"", ""miserly"", ""uncaring"", ""clueless""]","[""frowned at"", ""yelled at"", ""none""]","[""to not get involved in PersonY's business"", ""to let PersonY figure it out for themselves"", ""to avoid PersonY"", ""to hurt PersonY"", ""to stay out of it""]","[""to be very busy"", ""to be distracted"", ""to meetup with person Y"", ""to hear person Y's request""]","[""relieved"", ""arrogant"", ""devious"", ""proud""]","[""apologize to PersonY"", ""offer to help PersonY"", ""to leave person Y"", ""to revel in their vengence""]",tst,PersonX gives PersonY help
PersonX does not get a second job,"[""none""]","[""happy"", ""included"", ""none""]","[""none""]","[""lazy"", ""tired"", ""poor"", ""not skilled""]","[""Cannot pay rent"", ""Forced to live on street"", ""goes bankrupt"", ""gets evicted""]","[""to stay home"", ""more time with family"", ""to have more free time"", ""to hang around home more""]","[""to get a first job"", ""to make enough money"", ""to have a primary job"", ""to value time over money""]","[""rested"", ""broke"", ""like they should have gotten a job"", ""overwhelmed by past due bills""]","[""to spend wisely"", ""to relax after work"", ""to spend time on hobbies"", ""to spend time with loved ones"", ""to rest after working first job""]",tst,PersonX gets a second job
PersonX does not take PersonY on a hike,"[""misses friend"", ""gets ignored"", ""PersonY needs to find someone else"", ""They must wait until next time"", ""They will go alone""]","[""excluded"", ""hurt by personX"", ""upset"", ""abandoned""]","[""to go with personX"", ""to get some fresh air"", ""to go with PersonX the next time"", ""to tell their friends they went hiking""]","[""alone"", ""introverted"", ""lazy"", ""not a fan of nature""]","[""gets ignored"", ""loses exercise"", ""none""]","[""to be alone"", ""to move fast"", ""to stay home"", ""to go hiking alone""]","[""to avoid personY"", ""to leave without seeing personY"", ""none""]","[""exhausted"", ""ready for the next one"", ""independent"", ""guilty""]","[""to be alone"", ""to hike a lot longer"", ""to take PersonY next time"", ""to buy PersonY the proper hiking boots""]",tst,PersonX takes PersonY on a hike
