event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX barely writes PersonY a letter,"[""cries"", ""gets confused"", ""none""]","[""sad"", ""ignored"", ""sidelined""]","[""read the letter from Person X"", ""respond to them, if necessary"", ""none""]","[""lazy"", ""busy"", ""reluctant"", ""cold""]","[""gets a call"", ""gets asked what is wrong"", ""none""]","[""to be left alone"", ""to keep secrets"", ""to cut down on their communication with PersonY"", ""to distance themselves""]","[""get a piece of paper to write on"", ""get a writing pen or pencil"", ""get an envelope and stamp if mailing it"", ""to find a pen"", ""to find some paper""]","[""solitary"", ""alone"", ""selfish"", ""disinterested""]","[""drop the letter in a mailbox if sending it by mail"", ""relax little bit"", ""to sit down"", ""get their thoughts together""]",trn,PersonX writes PersonY a letter,barely,single_word
PersonX is under no circumstances cleaning PersonY's apartment,"[""none"", ""gets refused"", ""gets yelled at""]","[""disappointed"", ""angry"", ""upset""]","[""hire a sanitizing company"", ""sanitize the space herself"", ""to be helped"", ""a favor""]","[""dirty"", ""disgusting"", ""indisposed"", ""unhelpful""]","[""none"", ""gets pleaded with"", ""gets yelled at""]","[""to avoid getting dirty"", ""to make persony do it themselves"", ""to teach Y a lesson"", ""to help Y""]","[""none""]","[""clean"", ""unmoved"", ""smart"", ""wise""]","[""na"", ""persony to do it"", ""to be lazy""]",trn,PersonX is cleaning PersonY's apartment,under no circumstances,multi_word
PersonX feels uninspired,"[""none""]","[""none""]","[""none""]","[""worried"", ""defeated"", ""down"", ""depressed""]","[""gets bad reviews on their book"", ""gets dropped by their publisher"", ""thinks of past events"", ""becomes depressed""]","[""none""]","[""wake up sleepy"", ""go to work"", ""none""]","[""depressed"", ""blocked up"", ""sad"", ""unmotivated""]","[""eat a sugary candy"", ""refocus his mind"", ""view artwork/read a book"", ""attend a class"", ""talk to a friend""]",trn,PersonX feels inspired,uninspired,affixes_adj
PersonX restrains themselves from changing PersonX's major,"[""none""]","[""none""]",,"[""committed"", ""steadfast"", ""composed"", ""fair""]","[""helps them pass"", ""build a career"", ""has to do a lot of course work"", ""is required to study""]","[""to please their parents"", ""to stay on track"", ""none""]",,"[""dutiful"", ""determined"", ""confident"", ""brave""]",,trn,PersonX changes PersonX's major,restrain,verb
PersonX says something unlike,"[""none""]","[""none""]","[""none""]","[""different"", ""creative"", ""unique""]","[""none"", ""thinks about what he does like"", ""stresses others don't like him at all""]","[""none"", ""to say what he feels"", ""to be honest""]","[""none"", ""plan to meet friends""]","[""embarrassed"", ""upset"", ""relieved"", ""satisfied""]","[""to apologize"", ""to leave the room"", ""to speak"", ""plan to meet friends""]",trn,PersonX says something like,unlike,affixes_adj
PersonX never sits in front of PersonY,"[""none""]","[""none"", ""curious"", ""confused""]","[""none""]","[""hesitant"", ""unfriendly"", ""tall"", ""considerate""]","[""none"", ""avoids eye contact"", ""turns head""]","[""to keep an eye on Y"", ""to make sure they aren't associated with Y"", ""to not be stared at"", ""to avoid personY""]","[""none"", ""person y to be on same bus"", ""doesn't like people sitting behind them""]","[""distant"", ""independent"", ""relieved"", ""shy""]","[""find a different seat"", ""sit right next to PersonY, but not infront"", ""to get of bus"", ""go to store""]",trn,PersonX sits in front of PersonY,never,single_word
PersonX has problem with doing something special for PersonY,"[""none""]","[""none"", ""neglected"", ""not cherished""]","[""find someone else to help"", ""receive an explanation"", ""express sympathy to PersonX"", ""enjoy themselves without PersonX""]","[""stubborn"", ""spiteful"", ""rude"", ""cruel"", ""uncaring""]","[""none"", ""gets yelled at"", ""is helped at the shop""]","[""none"", ""to avoid trouble"", ""to have time for himself""]","[""be asked to do something"", ""be unwilling to do something"", ""run out of money"", ""see PersonY's special event coming""]","[""confused"", ""lonely"", ""relieved"", ""lazy""]","[""explain"", ""apologize"", ""apologize to PersonY"", ""get some money together""]",trn,PersonX does something special for PersonY,have problem with,multi_word
PersonX is not at all washing the dishes,"[""becomes frustrated"", ""gets angry"", ""none""]","[""none""]","[""none""]","[""lazy"", ""dirty"", ""selfish""]","[""none"", ""reprimanded"", ""becomes lazy""]","[""none"", ""to play games"", ""to have fun""]","[""none""]","[""lazy"", ""tired"", ""annoyed"", ""bored""]","[""to watch tv"", ""to play video games"", ""to order the servants to work"", ""to go to the living room""]",trn,PersonX is washing the dishes,not at all,multi_word
PersonX discontinues teaching PersonY's dog,"[""becomes grateful toward person x"", ""learns new skill"", ""frowns"", ""sighs""]","[""let down"", ""irritated"", ""sad"", ""upset""]","[""go to obedience school"", ""watch dog training videos on You Tube"", ""none""]","[""impatient"", ""quitter"", ""unhelpful"", ""unfriendly""]","[""recieves thanks"", ""handed cash"", ""fired"", ""let go""]","[""to stop being bitten"", ""to stop aggravating their allergies"", ""to beat the dog"", ""to kill the dog""]","[""get a leash and collar"", ""read a book on dog training"", ""to know person y"", ""to have been asked by person y for a favor""]","[""relieved"", ""healthier"", ""satisfied"", ""relief""]","[""ignore person y in the future"", ""tell person y and appologize""]",trn,PersonX teaches PersonY's dog,discontinue,verb
PersonX opposes asking PersonY to the dance,"[""doesn't get asked to the dance"", ""is asked by someone else"", ""none""]","[""unattractive"", ""rejected"", ""disappointed for being passed up"", ""undesirable""]","[""none""]","[""intimidated"", ""scared"", ""atnisocial"", ""shy""]","[""gets confronted"", ""is pleaded with"", ""loses a girlfriend"", ""gets yelled at""]","[""to get asked"", ""to stay home"", ""somebody better looking"", ""to go with a group of friends instead""]","[""none"", ""to go to school with person y"", ""not like person y""]","[""regret"", ""bad for persony"", ""terrible for not asking personY"", ""immature for going with a group""]","[""to take someone else"", ""not embarrass themselves"", ""find another person to ask to dance"", ""avoid person y""]",trn,PersonX asks PersonY to the dance,oppose,verb
PersonX on no condition goes next door,"[""none""]","[""none""]","[""none""]","[""scared"", ""intimidated"", ""sick"", ""unwell""]","[""recieves knock on door"", ""avoids conflict"", ""sweats"", ""shakes""]","[""to be home alone"", ""to stay safe"", ""none""]","[""none""]","[""safe"", ""comfortable"", ""tired"", ""disappointed""]","[""to stay put"", ""listen to order"", ""to be alone"", ""to stay in bed""]",trn,PersonX goes next door,on no condition,multi_word
PersonX stops meeting a girl,"[""gets introduced to someone else"", ""gets asked to a date"", ""they get left alone"", ""they need to find a new friend""]","[""upset"", ""spiteful"", ""none""]","[""get revenge"", ""ask why the meetings stopped"", ""to find another companion"", ""to be left alone""]","[""single"", ""heat broken"", ""uninterested"", ""hard-hearted""]","[""gets criticized"", ""gets made fun of"", ""they are by themself"", ""they don't have a girl in their life""]","[""to avoid the girl"", ""to find someone else"", ""none""]","[""to have been meeting a girl"", ""to have met a female"", ""stopped liking a woman""]","[""satisfied"", ""happy"", ""guilty"", ""fed up""]","[""avoid the girl and potential awkwardness"", ""find a new girl"", ""to find another companion"", ""to go it alone""]",trn,PersonX meets a girl,stop,verb
PersonX not by any means has PersonX's baby,"[""none""]","[""none"", ""sad"", ""lonely""]","[""to get their baby from person x"", ""to go out now that they have a babysitter"", ""none""]","[""alone"", ""angry"", ""reticent"", ""independent""]","[""none""]","[""none"", ""to avoid kids"", ""to be left alone""]","[""none"", ""to avoid sex"", ""to be on the pill""]","[""annoyed"", ""confused"", ""irresponsible"", ""insufficient""]","[""to give the baby back"", ""to babysit the baby"", ""to stay on birth control"", ""to stay alone""]",trn,PersonX has PersonX's baby,not by any means,multi_word
PersonX is unafraid it would hurt,"[""none""]","[""none""]","[""none""]","[""brave"", ""strong"", ""powerful"", ""stoic""]","[""none""]","[""to get a plan"", ""none""]","[""require a procedure"", ""engage in something possibly painful"", ""none""]","[""to get a plan"", ""GET HURT"", ""hurt"", ""peaceful""]","[""to be fearless"", ""to show strength"", ""to get it over with"", ""to go home""]",trn,PersonX is afraid it would hurt,unafraid,affixes_adj
PersonX opposes getting PersonX's own apartment,"[""none""]","[""none""]","[""none""]","[""lazy"", ""dependent"", ""Shrewd"", ""Careful""]","[""none"", ""learns to live alone"", ""learns to pay bills""]","[""to save money"", ""to buy a house instead"", ""to be with family""]","[""none""]","[""poor"", ""indecisive"", ""calm"", ""frugal""]","[""to stay where he is"", ""to not have to pay rent"", ""to reject the offers"", ""to look for a trailer""]",trn,PersonX gets PersonX's own apartment,oppose,verb
PersonX is under no circumstances camping with PersonX's friends,"[""bodies warm up"", ""full stomachs from meal"", ""camp without PersonX"", ""have a great time camping""]","[""disappointed"", ""bummed"", ""none""]","[""none"", ""to convince PersonX"", ""to invite others""]","[""unfriendly"", ""unwell"", ""unsociable"", ""non-outdoorsy""]","[""gets left behind"", ""gets attacked by bear"", ""none""]","[""to be alone"", ""to stay home"", ""none""]","[""to have been asked to camp with friends"", ""to have wanted to camp alone"", ""to discuss with friends"", ""to make friends""]","[""annoyed"", ""frustrated"", ""lonely"", ""busy""]","[""find a different spot to camp"", ""wait another time before camping"", ""to give in"", ""to rest at home""]",trn,PersonX is camping with PersonX's friends,under no circumstances,multi_word
PersonX is barely playing basketball with PersonY's friends,"[""none""]","[""Disrespected"", ""Disregarded"", ""none""]","[""none""]","[""boring"", ""lazy"", ""interesting"", ""tired"", ""lethargic""]","[""none"", ""muscles sore"", ""leg is in pain""]","[""To be selfish with the ball"", ""To play by themselves"", ""to be a good friend"", ""to stay in shape""]","[""none"", ""to get a work""]","[""Entitled"", ""Proud"", ""tired"", ""sore""]","[""go home"", ""read a book at home"", ""to honest"", ""to stay away""]",trn,PersonX is playing basketball with PersonY's friends,barely,single_word
PersonX not at all sells PersonX's goods,"[""none""]","[""to get a plan"", ""none""]","[""none""]","[""incompetent"", ""lazy"", ""unskilled""]","[""has more goods"", ""has less money"", ""none""]","[""to get a plan"", ""none""]","[""none"", ""put their goods on sale"", ""decide to sell their goods""]","[""to get a plan"", ""brok"", ""lazy""]","[""to give up the shop"", ""to give things away"", ""convice people to buy person X's goods"", ""To lower the price of Person X's goods""]",trn,PersonX sells PersonX's goods,not at all,multi_word
PersonX resists speaking english,"[""none""]","[""prepared to learn another language too"", ""ready to help PersonX"", ""none""]","[""none""]","[""foreign"", ""different"", ""hostile"", ""deaf""]","[""becomes mute"", ""gets left alone"", ""they miss out on a job opportunity""]","[""to learn new languages"", ""to practice their new language"", ""to speak Spanish"", ""to be different""]","[""to know another language besides english"", ""be put in a situation where using english would be risky"", ""be speaking another language than English"", ""be in a situation where speaking English could cause concern for someone""]","[""more fluent in the new language"", ""like they want to move abroad"", ""like a foreigner"", ""misunderstood""]","[""avoid situatioion turning bad"", ""move on with day"", ""speak English (elsewhere)"", ""continue speaking the language other than English""]",trn,PersonX speaks english,resist,verb
PersonX under no circumstances leans towards PersonY,"[""none""]","[""noticed"", ""included"", ""none""]","[""none"", ""personal space"", ""personx to move away""]","[""turned off"", ""self-reliant"", ""respectful"", ""well-behaved""]","[""loses friend"", ""cries"", ""stands straight"", ""stands up""]","[""to be close"", ""to get noticed"", ""to stay upright"", ""to not touch Y""]","[""none""]","[""warm"", ""affectionate"", ""stiff"", ""concerned""]","[""to avoid persony"", ""not be close to them""]",trn,PersonX leans towards PersonY,under no circumstances,multi_word
PersonX disowns a boat,"[""none""]","[""none""]","[""none""]","[""seasick"", ""broke"", ""a landlubber"", ""aquaphobic""]","[""thinks about buying a car"", ""stresses about going to the ocean"", ""gets no boat to use"", ""becomes free from paying the maintenance cost of the boat""]","[""to sell the boat"", ""to make money"", ""to get a plan""]","[""to have a boat"", ""to need money"", ""to own a boat"", ""to use the boat""]","[""happy"", ""prosperous"", ""to get a plan""]","[""to sell the boat"", ""to get a new boat"", ""to scrap the boat""]",trn,PersonX owns a boat,disown,affixes_verb
PersonX under no circumstances bears PersonY children,"[""gets taken to court"", ""gets sued"", ""is also childless"", ""wants to have kids with PersonX""]","[""disappointed"", ""sad"", ""inadequate""]","[""date someone else"", ""avoid having children also"", ""none""]","[""child-free"", ""sterile"", ""determined"", ""unnurturing""]","[""gets handed divorce papers"", ""gets accused of failure to perform"", ""is childless"", ""is prepared to remain childless""]","[""to not be a parent"", ""does not like PersonY"", ""to be independent"", ""to keep appearance""]","[""take birth control"", ""tell personY they don't want children"", ""to use birth control"", ""to love another person""]","[""relieved"", ""content"", ""free"", ""pretty"", ""independent""]","[""avoid being a parent"", ""maintain independence"", ""to avoid person"", ""to ignore them"", ""to part with them""]",trn,PersonX bears PersonY children,under no circumstances,multi_word
PersonX dislikes PersonX's name,"[""none""]","[""none""]","[""none""]","[""rude"", ""cruel"", ""Sad"", ""Annoyed""]","[""none"", ""thinks of changing name"", ""tells a lie""]","[""none""]","[""none""]","[""disappointed"", ""frustrated""]","[""to change name"", ""to complain to their parents"", ""to change their name"", ""a different name""]",trn,PersonX likes PersonX's name,dislike,affixes_verb
PersonX stops driving to PersonY,"[""gets stressed out"", ""loses a friend"", ""none""]","[""disappointed"", ""ignored"", ""lonely"", ""rejected""]","[""ask where PersonX is"", ""to find out why X  is no longer coming around"", ""to buy X a new car"", ""to start visiting X at X's place""]","[""lazy"", ""unreliable"", ""contrary"", ""unaccommodating""]","[""gets lost"", ""is exhausted"", ""saves gas"", ""saves money""]","[""to drive somewhere else"", ""to go home"", ""to avoid PersonY"", ""to concentrate on themselves for a while""]","[""be driving to PersonY"", ""be in a car"", ""to lose his license"", ""to crash his car"", ""to stop wanting to see Y""]","[""conflicted"", ""ambiguous"", ""isolated"", ""independent""]","[""drive somewhere else"", ""tell PersonY they're not coming"", ""to take a test to reinstate his license"", ""to start using cabs"", ""to break things off with Y""]",trn,PersonX drives to PersonY,stop,verb
PersonX rarely lets go of PersonY,"[""none"", ""gets followed"", ""gets hugged""]","[""manipulated"", ""subordinate"", ""to get a plan"", ""let play""]","[""to hug PersonX"", ""to tell PersonX it's okay to let go"", ""to slip away"", ""find a retreat""]","[""affectionate"", ""caring"", ""clingy"", ""insecure""]","[""wants to help"", ""stays calm"", ""gets yelled at"", ""gets slapped""]","[""to control Y"", ""keep tabs on Y"", ""to get a plan""]","[""to hold onto PersonY"", ""to get close to PersonY"", ""none""]","[""dominant"", ""superior"", ""to get a plan""]","[""to squeeze PersonY"", ""to tell PersonY they like them"", ""to keep an eye on them"", ""avoid them escaping""]",trn,PersonX lets go of PersonY,rarely,single_word
PersonX denies that they buy PersonY's tickets,"[""none"", ""have a run-in with PersonX about lying"", ""have to find PersonY to hear the truth""]","[""rejected"", ""embarrassed"", ""grateful"", ""excited""]",,"[""conscientious"", ""heedful"", ""unwavering"", ""certain""]","[""buys tickets"", ""apologizes for forgetting"", ""is thought to be a liar by others"", ""is asked to tell the truth""]","[""to save money"", ""to not go with PersonY"", ""to hide that they spent money"", ""to not get in trouble for spending too much""]",,"[""fair"", ""relieved"", ""guilty"", ""coy""]",,trn,PersonX buys PersonY's tickets,deny,verb
PersonX becomes unconcerned,"[""none""]","[""none""]","[""none""]","[""confident"", ""careless"", ""lazy""]","[""relaxes muscles"", ""smiles"", ""behaves friendly to others"", ""acts friendly""]","[""to get a plan"", ""none""]","[""none"", ""get a gift""]","[""to get a plan"", ""disengaged"", ""uninterested""]","[""take a relaxing day for themselves"", ""work on a fun hobby"", ""get a gift""]",trn,PersonX becomes concerned,unconcerned,affixes_adj
PersonX rarely takes another wife,"[""none""]","[""none""]","[""none""]","[""loyal"", ""true"", ""scrupulous"", ""honest""]","[""none"", ""thinks about dating others"", ""stresses what his current wife may think""]","[""none""]","[""none""]","[""respectful"", ""mannered"", ""faithful"", ""caring""]","[""stay commited"", ""take wife out for dinner"", ""to stay alone"", ""to be single forever""]",trn,PersonX takes another wife,rarely,single_word
PersonX is in no way a basketball player,"[""will have to find someone else to play basketball with"", ""won't be able to play basketball"", ""none""]","[""none""]","[""none""]","[""Weak"", ""Short"", ""Lazy"", ""Unathletic"", ""Uncoordinated""]","[""none"", ""loses game"", ""misses basket""]","[""none""]","[""none""]","[""unskilled"", ""anxious"", ""embarassed"", ""humiliated""]","[""play a different sport"", ""avoid sports"", ""to find another way to get some exercise"", ""to learn how to play basketball anyway""]",trn,PersonX is a basketball player,in no way,multi_word
PersonX is barely dating for a year,"[""none""]","[""a part of a good relationship"", ""comfortable with their partner"", ""none""]","[""none""]","[""exciting"", ""adventurous"", ""spontaneous"", ""ambitious"", ""formal""]","[""gains knowledge"", ""takes time for self"", ""gets a phone call"", ""gets dumped""]","[""none""]","[""ask other person to go out"", ""pick up other person"", ""none""]","[""happy in their relationship"", ""their personal life is going well"", ""unloved"", ""a little lonely""]","[""to get out and date more"", ""move to another town that is more friendly""]",trn,PersonX is dating for a year,barely,single_word
PersonX hardly ever bribes PersonY with candy,"[""gets sugar high"", ""gets stomachache"", ""does not get cavity"", ""is not hyper""]","[""satisfied"", ""important"", ""none""]","[""none""]","[""friendly"", ""nice"", ""adorable"", ""funny""]","[""gets yelled at by partner"", ""gets slapped"", ""is asked for more candy"", ""is yelled at""]","[""to be genuine"", ""to be honest"", ""none""]","[""to know person y"", ""to need a favor from person y"", ""none""]","[""good"", ""honest"", ""skimming"", ""canning""]","[""hang out with person y"", ""take advantage of person y kindness"", ""to be a good person"", ""not use tactics""]",trn,PersonX bribes PersonY with candy,hardly ever,multi_word
PersonX fails to call security,"[""none""]","[""glad to be outside"", ""ready to leave"", ""none""]","[""none""]","[""incompetent"", ""inept"", ""inactive"", ""unreliable"", ""hesitant""]","[""none""]","[""to handle the problem himself"", ""to exit the building"", ""to deal with the issue himself"", ""get help from someone else""]","[""work as security officer"", ""be distracted"", ""to witness a crime"", ""to see something dangerous""]","[""sure he took the safest action"", ""happy everyone is out of the building"", ""cautious"", ""careful""]","[""gets fired"", ""gets injured"", ""stay out of it"", ""mind their own business""]",trn,PersonX calls security,fail,verb
PersonX is by no means PersonY's boyfriend,"[""none"", ""argue with personX"", ""express love to PersonX""]","[""spurned"", ""unappealing"", ""none""]","[""to write a love letter"", ""to give gifts"", ""none""]","[""friendly"", ""shy"", ""single"", ""lonely""]","[""none"", ""set PersonY straight"", ""avoid PersonY"", ""find a girlfriend""]","[""to date someone else"", ""to respect boundaries"", ""none""]","[""to hang out with the person"", ""to get close to the person"", ""none""]","[""decisive"", ""sure of themselves"", ""acceptance"", ""single""]","[""to yell at the person"", ""to confront the person"", ""to find a partner"", ""to get in a relationship""]",trn,PersonX is PersonY's boyfriend,by no means,multi_word
PersonX is hardly playing monopoly,"[""none"", ""wins the games"", ""has to listen to PersonX whine""]","[""none""]","[""none""]","[""Uninterested"", ""Introverted"", ""boring"", ""unadventurous""]","[""puts hand to head"", ""thinks of other activities"", ""loses the game`"", ""plays a different game""]","[""none"", ""to play a different game"", ""to watch television""]","[""none"", ""be at a game"", ""be playing the game""]","[""bored"", ""tired"", ""regretful""]","[""to play other games"", ""to try monopoly"", ""avoid playing the game"", ""leave the game""]",trn,PersonX is playing monopoly,hardly,single_word
PersonX is unexcited to go,"[""none""]","[""none""]","[""none"", ""PersonX to go with them"", ""to be with someone there""]","[""depressing"", ""boring"", ""nice"", ""good""]","[""none""]","[""none"", ""to get a plan""]","[""none"", ""to know about the event"", ""decide they don't want to go""]","[""dying"", ""miserable"", ""to get a plan"", ""to work""]","[""to be excited"", ""have a fun time"", ""to stay home"", ""to be alone""]",trn,PersonX is excited to go,unexcited,affixes_adj
PersonX refuses to make the football team,"[""none""]","[""none""]","[""none""]","[""stubborn"", ""lazy"", ""static""]","[""gets calls"", ""receives messages"", ""none""]","[""to play basketball"", ""to stay away from sports"", ""to have fun"", ""to be a player""]","[""to have applied for team"", ""to have done something to disqualify self"", ""to learn about football tryouts"", ""to go to the football tryouts""]","[""calm"", ""decisive"", ""annoyed"", ""bothered""]","[""find another team to join"", ""wait till next year to apply again"", ""to play a different sport"", ""to do a different school activity""]",trn,PersonX makes the football team,refuse,verb
PersonX disapproves trying to talk to PersonY,"[""none""]","[""unwanted"", ""unhappy"", ""none""]","[""none"", ""to get PersonX to talk to them"", ""to figure out PersonX's reasoning""]","[""mad"", ""angry"", ""disapproving"", ""unapproving""]","[""none"", ""gets told they're snobby"", ""gets ignored""]","[""to annoy person Y"", ""to establish dorminance"", ""none""]","[""none"", ""to know PersonY"", ""to ask to talk to PersonY""]","[""dorminant"", ""powerful"", ""tired"", ""sleepy""]","[""to keep distance"", ""to avoid conflict"", ""to ignore PersonY"", ""to be alone""]",trn,PersonX tries to talk to PersonY,disapprove,verb
PersonX hardly ever prepares food,"[""none""]","[""none""]","[""none""]","[""run"", ""eat"", ""lazy"", ""unskilled""]","[""spends a lot on takeout"", ""decides to learn to cook"", ""gets complained to"", ""gets fired from job""]","[""takeout food"", ""a cook"", ""to eat takeout"", ""do other things instead""]","[""none""]","[""undomestic"", ""unable to cook well"", ""hungry"", ""lazy"", ""unhealthy""]","[""to eat out"", ""to buy premade meals"", ""to order food"", ""to go to restaurant""]",trn,PersonX prepares food,hardly ever,multi_word
PersonX by no means opens PersonX's presents,"[""none""]","[""none""]","[""none""]","[""patient"", ""disinterested"", ""self-controlled"", ""disciplined""]","[""none"", ""Is thanked"", ""is praised""]","[""to not receive gifts"", ""to get money"", ""to wait until the time is right"", ""to enjoy the anticipation""]","[""see the presents"", ""ask whose presents they are"", ""to see the gifts under the tree"", ""to count the gifts""]","[""sad"", ""lonely"", ""excited"", ""anticipatory""]","[""wait for Christmas morning"", ""wait for his girlfriend"", ""to guess what is inside his gifts"", ""to wake his parents""]",trn,PersonX opens PersonX's presents,by no means,multi_word
PersonX stops learning computer programming,"[""none""]","[""none""]","[""none""]","[""lazy"", ""finished"", ""Depressed"", ""Careless""]","[""they miss out on a great career"", ""gets scolded"", ""gets taken out of sports""]","[""none"", ""to learn something different"", ""to change course""]","[""none"", ""take a programming class"", ""find a different interest""]","[""tired"", ""satisfied"", ""uneducated"", ""unlearned""]","[""take other classes"", ""stop going to school"", ""take a different course"", ""find an easier class""]",trn,PersonX learns computer programming,stop,verb
PersonX discontinues PersonX's work,"[""none""]","[""none""]","[""none""]","[""nice"", ""good"", ""unwilling"", ""uninterested""]","[""stresses about job prospects"", ""thinks about next move"", ""fails"", ""gets fired""]","[""to go home"", ""to go to lunch"", ""to take a break""]","[""work"", ""none""]","[""accomplished"", ""hungry"", ""guilty for leaving"", ""unproductive""]","[""to go home"", ""to relax"", ""to get a new job"", ""to quit for the day""]",trn,PersonX continues PersonX's work,discontinue,affixes_verb
PersonX under no circumstances tells PersonY things,"[""becomes questioning of person x"", ""yells out"", ""none""]","[""in the dark"", ""confused"", ""none""]","[""none""]","[""secretive"", ""taciturn"", ""tight-lipped"", ""private""]","[""none"", ""feels inadequate"", ""lets themselves down""]","[""to keep it a secret"", ""to keep their word"", ""to tell secrets"", ""to call on phone""]","[""to be in relationship with person y"", ""to be cheating on person y"", ""none""]","[""loyal"", ""quiet"", ""secrative"", ""shy""]","[""break up with person y"", ""keep on cheating telling a lie"", ""to distance themselves from personY"", ""avoid personY""]",trn,PersonX tells PersonY things,under no circumstances,multi_word
PersonX not at all thinks PersonY looked great,"[""none""]","[""ignored"", ""belittled"", ""hurt by the criticism"", ""angered by lack of kindness""]","[""none""]","[""honest"", ""realistic"", ""unethical"", ""shady""]","[""none""]","[""none""]","[""to have known person y"", ""to have been hanging out with person y"", ""looked at Y"", ""assess Y's appearance""]","[""puzzled"", ""embarassed"", ""overly truthful"", ""the need for truth""]","[""tell person y they need to take care of their hygeine"", ""avoid person y"", ""to bite his tongue"", ""to refrain from comment""]",trn,PersonX thinks PersonY looked great,not at all,multi_word
PersonX prevents themselves from pursuing PersonX's dream,"[""none""]","[""none""]",,"[""punitive"", ""wicked"", ""disinterested"", ""lazy""]","[""sleeps"", ""naps"", ""gain weight"", ""lose their spouse""]","[""to have a new dream"", ""to put their plans on hold"", ""none""]",,"[""annoyed"", ""let down"", ""self sabatoged"", ""defeated"", ""like their own worst enemy""]",,trn,PersonX pursues PersonX's dream,prevent,verb
PersonX not at all drops PersonY a line,"[""none""]","[""to get a plan"", ""none""]","[""to find a new pen pal"", ""to ignore PersonX"", ""to call PersonX"", ""to scold PersonX next time they hear from them""]","[""slow"", ""distant"", ""uncommunicative"", ""disinterested""]","[""loses relationship"", ""becomes lonley"", ""none""]","[""to get a plan"", ""none""]","[""to not care about PersonY"", ""to not need to contact PersonY"", ""to be on vacation"", ""to be somewhere fun""]","[""to get a plan"", ""to speak"", ""sad"", ""irresponsible""]","[""to continue ignoring PersonY"", ""to write to other people"", ""to call PersonY"", ""to send PersonY a postcard""]",trn,PersonX drops PersonY a line,not at all,multi_word
PersonX gets unorganized,"[""none""]","[""none""]","[""none""]","[""scattered"", ""addlebrained"", ""chaotic"", ""destructive""]","[""can't find what they need"", ""trip over stuff"", ""gets scolded"", ""gets punished""]","[""none"", ""to lounge around"", ""to be lazy""]","[""to have something tragic happen"", ""to loose focus"", ""organize everything"", ""have an emergency""]","[""lost"", ""stressed"", ""laid back"", ""tired""]","[""seek comfort in friends"", ""clear head and maintain focus"", ""finish the urgent task"", ""put things back together""]",trn,PersonX gets organized,unorganized,affixes_adj
PersonX in no way denies PersonY access,"[""none""]","[""thankful"", ""surprised"", ""none""]","[""star talking to Person X"", ""want to get physically closer to Person X"", ""to offer thanks"", ""return the favor""]","[""welcoming"", ""permissive"", ""equitable"", ""fair""]","[""gets thanked"", ""gets a handshake"", ""none""]","[""to let them through"", ""to be friendly"", ""none""]","[""open a door, gate to give Person Y access"", ""ok a friendship request or respond to Person Y to give them access electronically"", ""have access to offer"", ""decide to allow access""]","[""friendly"", ""accommodating"", ""helpful""]","[""make Person Y feel comfortable"", ""start talking to Person Y"", ""offer Person Y a drink"", ""to be generous"", ""to share access""]",trn,PersonX denies PersonY access,in no way,multi_word
PersonX gives PersonY few water,"[""has a little water"", ""wants more"", ""becomes dehydrated"", ""gets thirsty""]","[""scared"", ""vulnerable"", ""none""]","[""none"", ""to confront PersonX"", ""to find other water"", ""to find an alternative source""]","[""kind"", ""reasonable"", ""understanding"", ""stingy"", ""ungenerous""]","[""asked for more water"", ""has more water"", ""has more water to consume"", ""gets blamed""]","[""to control PersonY"", ""to make PersonY uncomfortable"", ""none""]","[""none"", ""to find water"", ""to collect water"", ""to gather water""]","[""merciless"", ""hard-hearted"", ""mean"", ""stingy""]","[""Keep water"", ""Give water"", ""to drink water"", ""to hydrate""]",trn,PersonX gives PersonY some water,few,single_word
PersonX disapproves declaring war against PersonY,"[""none"", ""forgiven"", ""gains friend""]","[""betrayed by X's strategy"", ""rebellious"", ""eager to pursue the enemy"", ""none""]","[""to be friends"", ""to patch  up"", ""to thank personY for being peaceful"", ""to continue on with their life in peace"", ""to be involved in fewer conflicts in the future, too""]","[""peaceful"", ""passive"", ""aggressive"", ""dominant""]","[""none"", ""gains friend"", ""respected""]","[""none""]","[""to reassess the war"", ""to review the reasons for conflict"", ""to see virtue in personY"", ""to become a pacifist""]","[""dismayed that his generals disagree"", ""exhausted after so many attempts to stop the war"", ""peaceful"", ""neutral""]","[""to make peace"", ""decline war"", ""to cooperate instead of wage war"", ""person Y's assistance""]",trn,PersonX declares war against PersonY,disapprove,verb
PersonX makes no attempt to ask my neighbor,"[""none"", ""gets upset"", ""feels disrespected""]","[""none""]","[""none"", ""to tell PersonX they want nothing to do with him"", ""to tell PersonX they can't borrow anything""]","[""avoidant"", ""confused"", ""unfriendly"", ""unsociable""]","[""none"", ""upsets the neighbor"", ""is thought of as rude""]","[""to keep to themselves"", ""keep something a secret"", ""none""]","[""to not like neighbor"", ""to have alternative to help"", ""none""]","[""antisocial"", ""unfriendly"", ""unhappy"", ""unsatisfied""]","[""avoid neighbor"", ""move"", ""to get in good graces with the neighbor"", ""to ask for a favor""]",trn,PersonX asks my neighbor,make no attempt to,multi_word
