event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX shows PersonY how to the problems themselves,trn,"[""thoughtful"", ""empowering"", ""helpful"", ""intelligent""]","[""Thanked by personY"", ""Wrapped up in a bear hug"", ""none""]","[""none"", ""gains knowledge on problem solving"", ""can figure out problems independently""]","[""at ease"", ""fulfilled"", ""happy"", ""helpful""]","[""none""]","[""persony to be independent"", ""to help persony succeed"", ""to help person y"", ""to be happy""]","[""to study hard"", ""to prove themselves"", ""none""]","[""none""]","[""none"", ""to meet people"", ""to watch movie""]",PersonX does PersonY's homework
PersonX catches lots of crab.,trn,"[""skillful"", ""efficient"", ""Masterful"", ""Experienced"", ""High Yielding"", ""Skilled""]","[""bears the weights"", ""keeps body balance"", ""receive accolades""]","[""none""]","[""hungry"", ""successful"", ""happy"", ""satisfied""]","[""none""]","[""set the crabs free"", ""go home"", ""to keep the crab"", ""to play with the crab""]","[""none""]","[""to eat good"", ""cook them"", ""to take them home"", ""to make a nice meal""]","[""go to the sea"", ""find crabs"", ""to see a crab"", ""to lose a crab""]",PersonX catches lots of fish
Person  X goes out of his way to help Person Y.,trn,"[""considerate"", ""generous"", ""hospitable"", ""neighborly"", ""kind""]","[""spends time to help"", ""loses his own time and free time"", ""Went help"", ""Arrange the things""]","[""none""]","[""helpful"", ""kind"", ""great""]","[""none"", ""gracious"", ""overwhelmed""]","[""be thanked"", ""have the favor returned"", ""To be friendly to PersonY"", ""to prepare foods""]","[""give thanks"", ""return the favor"", ""none""]","[""none""]","[""be aware that personY needs help"", ""have a plan for helping"", ""none""]",PersonX is mean to PersonY
PersonX gets a summons.,trn,"[""desired"", ""wanted"", ""remorseful"", ""afraid""]","[""is responsive"", ""is worried"", ""none""]","[""none""]","[""guilty"", ""worried"", ""nervous"", ""anxious about the hearing"", ""scared about legal troubles""]","[""none""]","[""go the the place"", ""go towards"", ""to ask help"", ""to avoid the summon""]","[""none""]","[""none""]","[""none""]",PersonX gives PersonY a ticket
PersonX emails PersonX's office,trn,"[""comprehensive"", ""thorough"", ""communicative"", ""connected""]","[""none"", ""gets response"", ""gets resolved""]","[""are informed"", ""none""]","[""social"", ""in contact"", ""curious"", ""nervous""]","[""none""]","[""to get good name"", ""to get promotion"", ""re check office email account"", ""write a follow-up email to be safe""]","[""none""]","[""get in touch"", ""have correspondance"", ""none""]","[""to open the laptop"", ""to type the email"", ""none""]",PersonX calls PersonX's office
PersonX invites PersonX's enemy over,trn,"[""forgiven"", ""naive"", ""peaceable"", ""consilatory"", ""peace-loving""]","[""none"", ""gets in trouble"", ""gets peace""]","[""none"", ""gets compromised with"", ""gains peace""]","[""aggressive"", ""angry"", ""careful"", ""cautious""]","[""combative"", ""hateful"", ""wary"", ""suspect""]","[""to make ammends with enemy"", ""stratagize a plan to get revenge on enemy"", ""to exact revenge"", ""to make things right""]","[""none"", ""to know what PersonX wants"", ""to make things right with PersonX""]","[""to ambush someone"", ""to fight with someone"", ""to talk terms"", ""to ambush the enemy""]","[""none"", ""to have an enemy"", ""to speak to their enemy""]",PersonX invites PersonX's friend over
PersonX entertains PersonY,trn,"[""entertaining"", ""attentive"", ""funny"", ""joyous""]","[""none"", ""gets thanked"", ""is appreciated""]","[""none"", ""have fun"", ""is lively""]","[""lively"", ""glad"", ""entertaining"", ""happy""]","[""none""]","[""to give them food"", ""to entertain them"", ""to bond with persony"", ""to celebrate with persony""]","[""none"", ""to thank personx"", ""to get closer to personx""]","[""none""]","[""none""]",PersonX harasses PersonY
Personx has a daughter with PersonY.,trn,"[""succesful"", ""happy"", ""a parent"", ""responsible""]","[""none"", ""is connected to personY"", ""makes a lot of plans""]","[""none"", ""is hopeful for the future"", ""needs to become stable""]","[""caring"", ""loving"", ""happy"", ""elated""]","[""none"", ""happy"", ""proud""]","[""to be happy with person y"", ""to raise their daughter"", ""marry PersonY"", ""buy a house with PersonY""]","[""none"", ""to marry PersonX"", ""live with PersonY""]","[""none"", ""to start a family"", ""to be a parent""]","[""to meet person y"", ""to have fun with person y"", ""date PersonY"", ""sleep with PersonY""]",PersonX bores PersonY a son
PersonX saves PersonY's life,trn,"[""powerful"", ""thrilled"", ""aggressive"", ""dangerous""]","[""Thanked profusely"", ""Given presidential medal of freedom"", ""none""]","[""none"", ""thanks PersonX"", ""stays alive""]","[""proud"", ""accomplished"", ""like a hero"", ""thrilled""]","[""grateful"", ""indebted"", ""relieved"", ""alive""]","[""to rest"", ""to check on persony"", ""to care for them"", ""live with them""]","[""to get to safety"", ""to thank personx"", ""none""]","[""to keep PersonY from dying"", ""to show loyalty"", ""to marry personY"", ""to be with personY forever""]","[""to notice danger"", ""to make life saving efforts"", ""none""]",PersonX lets PersonY die
PersonX paints a portrait.,trn,"[""talented"", ""artistic"", ""creative"", ""skilled""]","[""gains skill"", ""complemented"", ""PersonX thinks of new subjects"", ""PersonX analyzes their work""]","[""none""]","[""inspired"", ""creative"", ""proud"", ""amazed""]","[""none""]","[""to sell the portrait for money"", ""to ask their family their honest opinion of the portrait"", ""show the painting"", ""sell the painting""]","[""none"", ""see the portrait"", ""pose""]","[""to practice his art"", ""to get better"", ""to express themselves"", ""to show off their talent""]","[""none"", ""gather supplies"", ""decide who to paint""]",PersonX takes the picture
PersonX sets PersonY free.,trn,"[""a criminal"", ""an accomplice"", ""forgiving"", ""heroic""]","[""gets a hug"", ""smiles"", ""none""]","[""smiles"", ""runs happily"", ""thanks PersonX"", ""sighs in relief""]","[""ashamed"", ""hurt"", ""justified"", ""independent""]","[""none"", ""alone"", ""easy going""]","[""to be merciful"", ""to help persony"", ""to go hotel"", ""the key of the home""]","[""to stay with personx"", ""to thank personx"", ""none""]","[""to be alone"", ""to live their life"", ""to be rid of Y"", ""Y to be on their own""]","[""none""]",PersonX makes PersonY arrest
Person x is in perfect health,trn,"[""fit"", ""disciplined"", ""responsible"", ""self-disciplined""]","[""none""]","[""none""]","[""happy"", ""satisfied"", ""content""]","[""none""]","[""to pat themselves on the back"", ""to feel good"", ""to go jogging"", ""to eat right""]","[""none""]","[""none"", ""to live a long time"", ""to be strong""]","[""none""]",PersonX has health issues
PersonX proposes marriage to his girlfriend.,trn,"[""devoted"", ""romantic"", ""loving"", ""bold""]","[""has his proposal accepted"", ""his girlfriend throws her arms around him"", ""gets married"", ""gets rejected""]","[""cries"", ""gets kissed by PersonX"", ""accepts and becomes a fiance"", ""rejects PersonX""]","[""happy"", ""satisfied"", ""anxious"", ""excited""]","[""none"", ""happy"", ""appreciated""]","[""to get married"", ""to be a family"", ""to go home"", ""to kiss his girlfriend""]","[""to get married"", ""to have children"", ""none""]","[""none"", ""to spend forever with PersonX's girlfriend"", ""to make PersonX's girlfriend happy""]","[""get a ring"", ""get a girlfriend"", ""to buy the ring"", ""to go hotel""]",PersonX divorces PersonX's wife
PersonX stares in silence.,trn,"[""tight-lipped"", ""judgmental"", ""scared"", ""afraid""]","[""none"", ""Feel alone"", ""Went dinner""]","[""none""]","[""at peace"", ""the most calm"", ""Confused"", ""Disoriented""]","[""none""]","[""relax"", ""sleep"", ""to clear their head"", ""think things over""]","[""none""]","[""peace"", ""to be in a quiet environment"", ""none""]","[""none""]",PersonX keeps talking
PersonX makes a huge profit for PersonY,trn,"[""smart"", ""nice"", ""skillful"", ""successful""]","[""none""]","[""thinks about being more rich"", ""thanks PersonX"", ""gets lots of money"", ""thanks personX"", ""pays personX""]","[""caring"", ""mindful"", ""happy"", ""excited""]","[""none""]","[""get a raise"", ""be paid more"", ""To celebrate"", ""To bask in the glory""]","[""none"", ""To celebrate"", ""To thank PersonX""]","[""none""]","[""none"", ""To Sell the product or stock"", ""Get money from PersonY""]",PersonX loses PersonY's money
PersonX lends PersonY a helping hand.,trn,"[""caring"", ""kind"", ""compassionate"", ""cultivated""]","[""none"", ""Gives gift"", ""Feel proud""]","[""none""]","[""helpful"", ""hopeful"", ""proud"", ""friendly""]","[""grateful"", ""happy"", ""indebted""]","[""develop his skills"", ""Read more pages"", ""to be generous"", ""to be friendly""]","[""none"", ""to thank personx"", ""to hug personx""]","[""to be kind"", ""to impress PersonY"", ""to appear kind"", ""to cooperate""]","[""none""]",PersonX is difficult for PersonY
PersonX gets PersonY's book,trn,"[""informed"", ""helpful"", ""curious"", ""studious""]","[""none""]","[""none""]","[""thankful"", ""pleased"", ""greatful"", ""happy"", ""contented""]","[""thoughtful"", ""giving"", ""supportive"", ""none""]","[""Plan to do something"", ""Go to personY home"", ""to help personY catch up"", ""to study with persony""]","[""none"", ""to study with personx"", ""to go over quiz questions""]","[""none""]","[""none""]",PersonX gets PersonY's phone
PersonX buys presents.,trn,"[""generous"", ""giving"", ""engaged"", ""thoughtful""]","[""Gives them"", ""Makes happy"", ""gets thanked"", ""gets a present in return""]","[""none"", ""gets a new present"", ""gets indulged""]","[""happy"", ""satisfied"", ""excited to give the gifts"", ""accomplished for choosing good presents""]","[""none"", ""happy"", ""grateful""]","[""put them under a tree"", ""to wait for everyone to arrive before handing them out"", ""to give the presents away"", ""to make someone else smile""]","[""none""]","[""none"", ""to be nice during holidays"", ""to surprise their friends""]","[""to figure out what everybody likes"", ""make a list"", ""go shopping"", ""wrap presents"", ""none""]",PersonX opens presents
PersonX hugs PersonX's wife,trn,"[""loving"", ""caring"", ""romantic""]","[""gets hugged back"", ""gets aroused"", ""none""]","[""gets kissed"", ""gets calm"", ""none""]","[""warm"", ""content"", ""caring"", ""loving""]","[""loving"", ""warm also"", ""none""]","[""to express love"", ""to make body contact"", ""to like them"", ""to apologize""]","[""none""]","[""to express his love"", ""to feel warmth"", ""none""]","[""none""]",PersonX kills PersonX's wife
PersonX gets a call from PersonY's boyfriend,trn,"[""inquisitive"", ""curious"", ""worried"", ""affectionate""]","[""accepts the call and talks to PersonY"", ""ignores the call"", ""none""]","[""none""]","[""concerned"", ""cared for"", ""curious"", ""nervous""]","[""none""]","[""to find the perfect gift for their pal's birthday"", ""to have a great time at the surprise party"", ""tell PErsonY"", ""hide from""]","[""none"", ""to ask boyfriend why?"", ""to ruin the surprise""]","[""none""]","[""none""]",PersonX calls PersonY's boyfriend
PersonX gets close to PersonY,trn,"[""near"", ""within reach"", ""caring"", ""aroused""]","[""none""]","[""gets uncomfortable"", ""gets unnerved"", ""none""]","[""affectionate towards PersonY"", ""interested in PersonY"", ""loving"", ""wanted""]","[""flattered by PersonX's attention"", ""loved by PersonX"", ""none""]","[""date personY"", ""form a relationship"", ""to get even closer to PersonY"", ""to change their mind and back away""]","[""spend time with personX"", ""get to know personX"", ""to run away"", ""to let them get even closer""]","[""to get to know PersonY"", ""to ask PersonY out on a date"", ""none""]","[""be aware of personY"", ""spend time with personY"", ""to move toward PersonY"", ""to inch toward PersonY""]",PersonX gives PersonY space
PersonX agrees with PersonY,trn,"[""agreeable"", ""kind"", ""easily persuadable"", ""loyal""]","[""given praise"", ""gains knowledge"", ""none""]","[""none""]","[""happy"", ""excited"", ""satisfied""]","[""none""]","[""to workout"", ""to watch movie"", ""to shake hands with PersonY"", ""to walk away""]","[""none"", ""to shake hands with Personx"", ""to walk away""]","[""none""]","[""to meet person y"", ""talk to person y"", ""to consider PersonY's arguement"", ""to decide whether or not to agree"", ""to indicate his agreement""]",PersonX argues with PersonY
PersonX pays entire bill.,trn,"[""gracious"", ""considerate"", ""generous"", ""responsible""]","[""free of debt"", ""decrease in savings"", ""none""]","[""none"", ""they save money""]","[""happy"", ""glad"", ""relieved"", ""proud""]","[""none""]","[""to pay down their debt"", ""be responsible"", ""to practice good money management"", ""save cash""]","[""none""]","[""none""]","[""none""]",PersonX goes halves
PersonX poops in PersonY's toilet.,trn,"[""functioning"", ""relieved"", ""emptied out"", ""civilized"", ""socially acceptable""]","[""none""]","[""none""]","[""rude"", ""insecure"", ""shy"", ""ashamed""]","[""none""]","[""Plan to kitting the personY"", ""Went for toilet"", ""get on with their day"", ""wash their hands""]","[""none""]","[""none""]","[""none"", ""have a need to go to the bathroom"", ""go to the bathroom""]",PersonX cleans PersonY's bathroom
PersonX lives far away from PersonY.,trn,"[""isolated"", ""out of reach"", ""content"", ""independent"", ""aloof""]","[""none"", ""grows distant from persony"", ""longs for persony""]","[""none"", ""runs into other people besides personx"", ""is called more often by personx""]","[""alone"", ""sad"", ""distant"", ""like they are missing persony""]","[""sad"", ""lonely"", ""too far away"", ""the need to be closer""]","[""take a trip to visit Y"", ""ask Y to come visit"", ""visit y"", ""call y""]","[""none""]","[""none""]","[""to move to another states"", ""live near Y"", ""none""]",PersonX lives in PersonY area
PersonX sells a car.,trn,"[""a go getter"", ""pushy"", ""giving"", ""kind""]","[""PersonX receives money for the car"", ""PersonX no longer has a car"", ""they get a bonus""]","[""none""]","[""broke"", ""disppointed"", ""excited"", ""enjoyment""]","[""none""]","[""buy another car"", ""make a profit"", ""put some money in the bank"", ""invest in a newer car""]","[""drive the car home"", ""pay for the car"", ""drive their car around the town"", ""show off their used car to their friends""]","[""none""]","[""have a car to sell"", ""put the car up for sale"", ""obtain the title of the car"", ""list the car online""]",PersonX buys a new car
PersonX hides PersonY something,trn,"[""Secretive"", ""Dishonest"", ""Cunning"", ""Crafty"", ""deceptive"", ""surprising""]","[""gets asked"", ""gets questioned"", ""to keep secret"", ""not shown to y""]","[""yells"", ""screams"", ""none""]","[""worried"", ""nervous"", ""powerful"", ""spiteful""]","[""nervous"", ""worried"", ""none""]","[""keep the item hidden"", ""show personY"", ""give them trouble"", ""to disappoint""]","[""find the item"", ""receive an explanation"", ""none""]","[""to keep it a secret"", ""no attention from persony"", ""to do something else"", ""to cause a fight""]","[""have something to hide"", ""find a hiding place"", ""none""]",PersonX shows PersonY something
PersonX breaks PersonY's wagon.,trn,"[""careless"", ""disrespectful of others' possessions"", ""destructive"", ""violent""]","[""they are punished"", ""punished"", ""yelled at""]","[""none"", ""cries"", ""yells""]","[""bad"", ""sorry"", ""annoyed"", ""angry""]","[""none""]","[""to apologize"", ""to replace the wagon"", ""to run away"", ""to call a repairman"", ""to apologize to PersonY""]","[""a new wagon"", ""an apology from PersonX"", ""to get their stuff repaired"", ""to have a discussion with Personx""]","[""none""]","[""to be using or near the wagon"", ""to use it incorrectly"", ""to borrow PersonY's vehicle"", ""to act irresponsibly with PersonY's property""]",PersonX fixes PersonY's wagon
PersonX facilitates PersonY's rise,trn,"[""nervous"", ""grateful"", ""helpful"", ""obliging""]","[""PersonX is thanked"", ""PersonX receives recognition"", ""none""]","[""PErsonY is well-known"", ""PersonY's life is changed"", ""is risen"", ""is better""]","[""successful"", ""mindful of them"", ""helpful"", ""friendly""]","[""none"", ""thankful"", ""happy""]","[""to be part of PersonY's inside circle"", ""to continue to work from the shadows"", ""be thanked"", ""have the favor returned""]","[""to continue rising"", ""to keep getting better"", ""offer thanks"", ""return the favor""]","[""none"", ""to be helpful"", ""to be friendly""]","[""to work for PersonY"", ""to know PersonY"", ""know personY"", ""have a way to help them rise""]",PersonX clips PersonY's wings
PersonX leaves PersonY where they are.,trn,"[""forgetful"", ""unfocused"", ""walking away"", ""going home""]","[""none""]","[""chases after personX"", ""walks in the other direction of PersonX"", ""stays in place"", ""is left behind""]","[""lonely"", ""sad"", ""careless"", ""bad""]","[""none""]","[""to go home"", ""to be alone"", ""to pick up person y"", ""to buy food""]","[""to avoid PersonX"", ""to be alone"", ""to go home"", ""none""]","[""none""]","[""to go with PersonY"", ""to be with PersonY"", ""to argue with PersonY"", ""to get person y"", ""to think about person y""]",PersonX carries PersonY home
PersonX takes PersonY's book,trn,"[""inconsiderate"", ""thieving"", ""rude"", ""selfish"", ""greedy""]","[""they are yelled at"", ""the book is taken back"", ""none"", ""gets questioned"", ""gets queried"", ""they are shouted at""]","[""none"", ""tries to look for their book"", ""buys a new book"", ""curious"", ""concerned""]","[""guilty"", ""nervous"", ""apologetic that they thought it was their dictionary"", ""worried they misplaced their own"", ""careless"", ""irresponsible"", ""curious"", ""daring""]","[""upset"", ""panicked"", ""understanding, mistakes happen"", ""grateful Person X is honest"", ""none"", ""surprised"", ""annoyed""]","[""to pass a class"", ""to thank persony"", ""to read the book"", ""to punish them"", ""return the book"", ""read the book"", ""to learn how the book ends""]","[""to lend a book"", ""to help personx"", ""none"", ""get the book back"", ""receive an apology"", ""to get the book back"", ""to accuse X of theft""]","[""to read the book"", ""to punish personY"", ""none"", ""to read"", ""to satisfy his curiousity""]","[""to lose his own book"", ""to begin studying"", ""none"", ""find the book"", ""grab the book"", ""to get near enough to Y to see the book"", ""Reach for the book""]",PersonX takes PersonY's photo
PersonX removes PersonY,trn,"[""unafraid"", ""bold"", ""alone"", ""lonely"", ""strict"", ""hard to please"", ""rude"", ""arrogant""]","[""none"", ""gets hit"", ""gets yelled at""]","[""blush"", ""looked down on"", ""none"", ""they're removed"", ""falls down"", ""trips""]","[""careful"", ""caring"", ""like dancing"", ""like smiling"", ""nervous will come back"", ""grateful they are gone"", ""refreshed"", ""motivated""]","[""none"", ""unwanted"", ""upset"", ""rejected"", ""angry""]","[""to fire person y"", ""to relax"", ""explain to PersonY"", ""prevent PersonY from coming back"", ""to convince PersonY"", ""to avoid the contact"", ""to restart the party"", ""to have a drink""]","[""none"", ""try to get back in"", ""go somewhere else"", ""to apologize"", ""to leave""]","[""none"", ""mean"", ""efficient"", ""angry at person"", ""to get person away from them"", ""to use someone else"", ""to change things up""]","[""to analyze person y"", ""to make a decision"", ""none"", ""to witness person Y being violent"", ""to grab person Y""]",PersonX adds PersonY
PersonX makes PersonY get up,trn,"[""helpful"", ""early riser"", ""insistent"", ""demanding""]","[""gets yelled at"", ""hears fussing"", ""frowns"", ""argued with""]","[""wakes up"", ""yawns"", ""frowns"", ""cries""]","[""angry"", ""dominant"", ""accomplished"", ""successful""]","[""intimidated"", ""annoyed"", ""bothered"", ""picked on""]","[""them to be awake"", ""ready for the day"", ""to turn on the light"", ""to pull the covers off the bed""]","[""to go back to bed"", ""to smack personx"", ""to get more sleep"", ""to turn over""]","[""to assert power"", ""to force Y"", ""to sit where person y is sitting"", ""person y to go do something""]","[""none"", ""to enter the bedroom"", ""to shake person Y""]",PersonX tucks PersonY in
PersonX gives PersonY a promotion.,trn,"[""supportive"", ""reasonable"", ""bright"", ""powerful""]","[""is thanked"", ""is appreciated"", ""none""]","[""appreciative"", ""thankful"", ""Given more money"", ""Given company car""]","[""at ease with decision"", ""happy to  have help"", ""satisfied"", ""happy""]","[""excited baout promotion"", ""happy to move up"", ""none""]","[""to congratulate PersonY"", ""to celebrate"", ""to offer encouragement"", ""appreciate personY"", ""acknowledged personY""]","[""Celebrate their promotion"", ""Tell their loved ones about the promotion"", ""be accepted"", ""acknowledge""]","[""reward good employees"", ""make work better"", ""to lift person Y"", ""to surprise person Y""]","[""Invite personY to the office"", ""Get the promotion approved"", ""Prepare the offer"", ""access personY"", ""observe""]",PersonX causes PersonY to fall
PersonX makes things worse,trn,"[""clumsy"", ""unsure how to help"", ""tactless"", ""incapable""]","[""gets in trouble"", ""becomes filled with regret"", ""runs away"", ""apologizes for the mess""]","[""none""]","[""reckless"", ""wild"", ""upset"", ""frustrated""]","[""none""]","[""to make things better"", ""to get out of the situation they are in"", ""apologize"", ""correct the mistakes""]","[""none""]","[""to ruin something"", ""to make things worse for others"", ""none""]","[""none""]",PersonX makes things better
PersonX cut my nails yesterday,trn,"[""manicurist"", ""hairdresse"", ""handy"", ""careful""]","[""thinks about nails"", ""thinks about cutting"", ""none""]","[""none""]","[""caring"", ""groomy"", ""thankful"", ""satisfied""]","[""none""]","[""helpful"", ""good"", ""to go home"", ""get a big tip""]","[""none""]","[""none""]","[""none""]",PersonX paints my nails yesterday
PersonX destroys PersonY's collection,trn,"[""mean"", ""aggressive"", ""disrespectful"", ""spiteful"", ""vengeful"", ""spoiled""]","[""is scrutinized"", ""is regretful"", ""are arrested""]","[""is watchful"", ""cringes at personX touching their stuff"", ""none""]","[""mean"", ""selfish"", ""scared"", ""afraid""]","[""none""]","[""throw stuff away"", ""run away"", ""to apologize"", ""to maintain the friendship""]","[""to retaliate"", ""get angry at PersonX"", ""none""]","[""none""]","[""none"", ""to see person y's collection"", ""to plan to destroy""]",PersonX browses PersonY's collection
PersonX calls PersonY for breakfast at the table,trn,"[""impatient"", ""caring"", ""hungry"", ""inviting""]","[""none"", ""thinks about PersonY's arrival"", ""waits for PersonY's arrival""]","[""comes for breakfast"", ""eats breakfast"", ""salivates"", ""hurries""]","[""annoyed"", ""frustrated"", ""happy"", ""satisfied""]","[""busy"", ""occupied"", ""none""]","[""to eat together"", ""to nourish their bodies"", ""to feed them"", ""to love them""]","[""to sleep in"", ""to eat and go to sleep"", ""none""]","[""person y to eat"", ""to enjoy what person x made"", ""none""]","[""to make breakfast"", ""to wake up in a good mood"", ""none""]",PersonX makes PersonY's breakfast in bed
PersonX invites PersonY to tea,trn,"[""hospitable"", ""sociable"", ""cordial"", ""social"", ""outgoing""]","[""gets accepted"", ""gets rejected"", ""gets a date"", ""is accpeted""]","[""accepts the invitation"", ""ignores the invitation"", ""is appreciated"", ""goes on a date""]","[""content"", ""happy"", ""nervous"", ""excited""]","[""calm"", ""happy"", ""none""]","[""to make friends"", ""to agree on something"", ""have the invitation accepted"", ""prepare for company""]","[""none"", ""thank personX for the invitation"", ""enjoy tea together""]","[""to be friendly"", ""to get to know personY better"", ""none""]","[""none"", ""contact personY"", ""decide to have company over for tea""]",PersonX invites PersonY to lunch
PersonX catches PersonY by the leg,trn,"[""grabbing"", ""preventing them from leaving"", ""playful"", ""fun""]","[""none""]","[""none"", ""they fall"", ""they don't get anywhere""]","[""relieved"", ""glad"", ""scared"", ""afraid""]","[""grateful"", ""happy"", ""none""]","[""to keep person y away"", ""to keep person y safe"", ""to talk to PersonY"", ""to hurt PersonY""]","[""none"", ""to escape"", ""to give in""]","[""to keep someone from falling"", ""to help someone"", ""none""]","[""to see person y"", ""to think to catch person y"", ""to chase after PersonY"", ""to extend arm""]",PersonX catches PersonY by the arm
PersonX makes cake,trn,"[""crafty"", ""smart"", ""artful"", ""successful"", ""skilled with hands""]","[""Makes a sign of relief"", ""Taste cake"", ""none""]","[""none"", ""they get a treat""]","[""happy"", ""satisfied"", ""fulfilled"", ""full""]","[""none""]","[""let cake cool down"", ""ice the cake"", ""serve to guests"", ""prepare the cake"", ""to microwave the cake""]","[""none""]","[""none"", ""to give the cake to someone"", ""to enjoy the cake""]","[""find recipe"", ""buy ingrediants"", ""blend together"", ""put in oven"", ""to buy egg"", ""to buy cocos""]",PersonX makes pie
Most people know PersonY better.,trn,"[""forgettable"", ""minimized"", ""aloof"", ""self-centered""]","[""none""]","[""none""]","[""famous"", ""well known"", ""open"", ""friendly""]","[""none""]","[""to become friends with person Y"", ""to spend time with others"", ""to be understood"", ""to be friendly""]","[""none""]","[""none""]","[""none""]",PersonX knows PersonY better
PersonX kisses the game winning football,trn,"[""cheeky"", ""laughing"", ""flashy"", ""attention-seeking""]","[""is cheered by the crowd"", ""gets congratulated by teammates"", ""none""]","[""none""]","[""happy"", ""satisfied"", ""affectionate"", ""dedicated""]","[""none""]","[""to celebrate with them"", ""to congratulate them"", ""to clean the hands"", ""to be more careful""]","[""none""]","[""none""]","[""none""]",PersonX kisses PersonY passionately
PersonX is a baker,trn,"[""industrious"", ""hard-working"", ""skilled"", ""providing""]","[""none"", ""gets lots of compliments"", ""receives an award""]","[""none""]","[""determined"", ""creative"", ""content"", ""accomplished""]","[""none""]","[""bake a cake"", ""share the cake"", ""to bake a cake"", ""to present it as a gift""]","[""none""]","[""none"", ""to work hard"", ""to have a profession""]","[""like to bake"", ""become a baker"", ""to learn cooking"", ""to learn baking""]",PersonX cuts my hair
PersonX pushes PersonY to death.,trn,"[""murderous"", ""guilty"", ""evil"", ""immoral""]","[""none"", ""flees"", ""sweats"", ""heart rate increases""]","[""dies"", ""is not able to breathe"", ""stops moving"", ""stops breathing"", ""heart stops beating""]","[""nervous"", ""relieved"", ""guilty"", ""ashamed""]","[""anguished"", ""pained"", ""none""]","[""hide some where"", ""surrenders in polis"", ""kill himself"", ""commit suicide""]","[""none""]","[""to end person y"", ""to have person y out of their life"", ""none""]","[""make some stragetic"", ""find correct reason"", ""none""]",PersonX saves PersonY from death
PersonX hits a tree.,trn,"[""reckless"", ""thoughtless"", ""careless"", ""injured""]","[""Taken to hospital"", ""Given emergency surgery"", ""get a DUI""]","[""none""]","[""sad"", ""angry"", ""shocked"", ""alarmed""]","[""none""]","[""to get car repaired"", ""replant tree in their own yard"", ""to go to the hospital"", ""receive treatment""]","[""none""]","[""none""]","[""none""]",PersonX hits a car
PersonX gets worse,trn,"[""unhealthy"", ""ailing"", ""unsound"", ""sickly"", ""deteriorating""]","[""none"", ""coughs"", ""gets sicker""]","[""none""]","[""sad"", ""unhappy"", ""sick""]","[""none""]","[""to get better"", ""to get medicine"", ""to not get any worse""]","[""none""]","[""none""]","[""none""]",PersonX becomes better
PersonX is comforting PersonY.,trn,"[""supportive"", ""soothing"", ""caring"", ""compassionate""]","[""none"", ""gets appreciated"", ""gets thanked""]","[""PersonY feels less anxiety"", ""PersonY no longer worries"", ""gets supported"", ""gets assisted""]","[""loving"", ""caring"", ""accomplished""]","[""none"", ""helped"", ""grateful""]","[""to be a good friend"", ""to wipe away tears"", ""asks person y if they need anything else"", ""stays and chats with person y""]","[""hug personx"", ""thank personx"", ""is grateful for the help"", ""hugs person x""]","[""none"", ""PersonY to feel better"", ""to be a good friend""]","[""none"", ""be around person y"", ""see that they are in distress"", ""asked by person y for support""]",PersonX is bothering PersonY
PersonX abandons PersonY's family,trn,"[""neglectful"", ""uncaring"", ""inconsiderate""]","[""loses kids"", ""is alone"", ""Starts a new life"", ""misses Person y's family""]","[""have extra room"", ""goes to therapy"", ""Loses faith in person X"", ""Start Over""]","[""sad"", ""determined"", ""guilty""]","[""confused"", ""rejected"", ""none""]","[""to hide away"", ""cut all ties with the family"", ""to get away"", ""to never look back""]","[""an answer"", ""to know what happened"", ""to weep"", ""to feel sorry for themselves""]","[""to be away from the family"", ""to go his own way"", ""none""]","[""none"", ""to feel overwhelmed"", ""to come to their breaking point""]",PersonX supports PersonY's family
PersonX despises PersonY's friends.,trn,"[""hateful"", ""unfriendly"", ""insecure"", ""possessive""]","[""none""]","[""none""]","[""hatred"", ""head strong"", ""bothered"", ""annoyed""]","[""none"", ""surprised"", ""worried""]","[""try to convince PersonY"", ""to ask sorry to personY"", ""keep their distance"", ""explain to personY""]","[""none"", ""an explaination"", ""a way to resolve the issue""]","[""none"", ""persony's friends to go away"", ""to be alone with persony""]","[""none"", ""have a bad experience"", ""meet personY's friends""]",PersonX has fun with PersonY's friends
PersonX holds PersonY loosely,trn,"[""considerate"", ""respectful"", ""rude"", ""mean""]","[""falls"", ""gets shoved"", ""none""]","[""none""]","[""unsure"", ""scared"", ""careless"", ""satisfied""]","[""none""]","[""be gentle"", ""be held back"", ""to drop persony"", ""to kill persony""]","[""be gentle also"", ""give thanks"", ""to climb back on the edge"", ""to yell in terror""]","[""want some space"", ""are unsure"", ""none""]","[""approach personY"", ""hold personY"", ""none""]",PersonX holds PersonY tightly
PersonX plays a game of soccer ball.,trn,"[""athletic"", ""supportive"", ""active""]","[""catches their breath"", ""gets sweaty"", ""feet start aching"", ""burns calories"", ""none""]","[""none""]","[""an endorphin rush"", ""exhausted"", ""refreshed"", ""more active""]","[""none""]","[""got win"", ""enjoying the day"", ""to take a shower"", ""to watch the soccer game""]","[""none""]","[""to improve their skills"", ""to lose weight"", ""to be active"", ""to get some air""]","[""good in soccer"", ""should be practiced well"", ""to put on their cleats"", ""to head to the field""]",PersonX plays a game of basketball
